chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Mn,aflow:a747e61cb9ec9148,Bi3Mn1,166,hR4,0.409198,-4.90705,,False
Bi-Mn,aflow:a813b4f2f142f023,Bi1Mn5,12,mS12,0.300084,-8.00069,,False
Bi-Mn,aflow:aaac88576df52322,Bi1Mn3,187,hP4,0.542241,-7.33217,,False
Bi-Mn,aflow:ab10f94579fab523,Bi1Mn3,139,tI8,0.439454,-7.43496,,False
Bi-Mn,aflow:ac76c07f47ddaa61,Bi2Mn4,74,oI12,0.662387,-6.78567,,False
Bi-Mn,aflow:ad49e5f44e278b6e,Bi4Mn2,194,hP6,0.417364,-5.32524,,False
Bi-Mn,aflow:af76de82b3c7bdb0,Bi3Mn3,8,mS12,0.561647,-6.03368,,False
Bi-Mn,aflow:afe8d9009e8a24ba,Bi2Mn1,164,hP3,0.248041,-5.49457,,False
Bi-Mn,aflow:af1e3cf06ffb4de4,Bi2Mn1,139,tI6,0.224014,-5.51859,,False
Bi-Mn,aflow:b4020cceb8d3c81f,Bi2Mn2,129,tP4,0.231446,-6.36388,,False
Bi-Mn,aflow:b4daf2e29eb97ca6,Bi2Mn4,63,oS12,0.39071,-7.05734,,False
Bi-Mn,aflow:b5b721c26f7473a8,Bi2Mn2,129,tP4,0.437874,-6.15746,,False
Bi-Mn,aflow:b68259a1e2e2d279,Bi1Mn1,65,oS4,0.420778,-6.17455,,False
Bi-Mn,aflow:b72643ffb52289e3,Bi2Mn1,164,hP3,0.309456,-5.43315,,False
Bi-Mn,aflow:b8138ce86abfdf13,Bi1Mn7,225,cF32,0.460944,-8.05301,,False
Bi-Mn,aflow:b83c5a396c89ca6b,Bi1Mn3,123,tP4,0.432721,-7.44169,,False
Bi-Mn,aflow:bba0c1696be0a262,Bi1Mn2,139,tI6,0.408996,-7.03906,,False
Bi-Mn,aflow:c1c1aa8ee2fac37f,Bi1Mn1,187,hP2,0.395446,-6.19988,,False
Bi-Mn,aflow:c26e23b36a185f00,Bi1Mn3,47,oP4,0.471187,-7.40323,,False
Bi-Mn,aflow:c38a879c2eae5570,Bi1Mn2,139,tI6,0.408093,-7.03996,,False
Bi-Mn,aflow:c5d235e6f48263f1,Bi4Mn4,62,oP8,0.322993,-6.27234,,False
Bi-Mn,aflow:c6c2c0cb7568e5de,Bi2Mn2,74,oI8,0.360796,-6.23453,,False
Bi-Mn,aflow:c65c6d393d3b2e43,Bi2Mn2,194,hP4,0.18888,-6.40645,,False
Bi-Mn,aflow:c8204be7e2343547,Bi4Mn2,63,oS12,0.218068,-5.52454,,False
Bi-Mn,aflow:ccb91fd60dea7625,Bi3Mn1,65,oS8,0.367485,-4.94876,,False
Bi-Mn,aflow:cc0bc266cea2c858,Bi2Mn6,59,oP8,0.540535,-7.33388,,False
Bi-Mn,aflow:cfd1299b91e9bba2,Bi4Mn4,198,cP8,0.462269,-6.13306,,False
Bi-Mn,aflow:d0e493572281ba30,Bi1Mn5,189,hP6,0.484022,-7.81675,,False
Bi-Mn,aflow:d1c6b57affe8d11f,Bi2Mn2,194,hP4,,-5.51399,0.0,False
Bi-Mn,aflow:d29a48b3b96d48d6,Bi1Mn3,221,cP4,1.69353,-6.18089,,False
Bi-Mn,aflow:d2521cb4637415da,Bi4Mn2,63,oS12,0.562322,-5.18028,,False
Bi-Mn,aflow:d34bddf4e44bb2cd,Bi1Mn2,164,hP3,0.606071,-6.84198,,False
Bi-Mn,aflow:d7358519905b2691,Bi1Mn5,65,oS12,0.287567,-8.01321,,False
Bi-Mn,aflow:d95128f48bd2ce13,Bi2Mn4,63,oS12,0.412342,-7.03571,,False
Bi-Mn,aflow:da7bf79022766bb7,Bi4Mn2,12,mS12,0.495882,-5.24673,,False
Bi-Mn,aflow:dd5d2a48e2b9a927,Bi1Mn3,221,cP4,0.42873,-7.44568,,False
Bi-Mn,aflow:dd1eb2e5d4ba0c11,Bi2Mn2,74,oI8,0.360596,-6.23473,,False
Bi-Mn,aflow:dfac666657b030ac,Bi2Mn2,129,tP4,0.23328,-6.36205,,False
Bi-Mn,aflow:e0c1ee3421831c96,Bi1Mn2,139,tI6,0.409688,-7.03836,,False
Bi-Mn,aflow:e13cc4e1f8901a36,Bi2Mn2,166,hR4,0.266949,-6.32838,,False
Bi-Mn,aflow:e2fe03414f692032,Bi2Mn2,129,tP4,0.230834,-6.3645,,False
Bi-Mn,aflow:e2d30efd26c74117,Bi1Mn5,216,cF24,0.473056,-7.82772,,False
Bi-Mn,aflow:e41989f059fd6d9b,Bi3Mn1,221,cP4,0.676997,-4.63925,,False
Bi-Mn,aflow:e7ee0c08985092ea,Bi1Mn3,166,hR4,0.632104,-7.24231,,False
Bi-Mn,aflow:e757baadf8ccd1fe,Bi3Mn1,71,oI8,0.219603,-5.09664,,False
Bi-Mn,aflow:e7e3b23761e7173f,Bi2Mn1,69,oF12,3.8696,-1.87301,,False
Bi-Mn,aflow:e700d9f717a10417,Bi2Mn4,227,cF24,0.469161,-6.97889,,False
Bi-Mn,aflow:e8b2636c000731ac,Bi1Mn1,216,cF8,0.599806,-5.99552,,False
Bi-Mn,aflow:ebfeb62025435f6c,Bi1Mn2,164,hP3,0.591761,-6.85629,,False
Bi-Mn,aflow:ecd4bcb1f3025c5b,Bi5Mn3,65,oS16,1.27309,-4.6827,,False
Bi-Mn,aflow:edbc37db660e6437,Bi2Mn4,140,tI12,0.55504,-6.89301,,False
Bi-Mn,aflow:ee07e8391b4cbdb8,Bi5Mn1,38,oS12,0.507235,-4.38265,,False
Bi-Mn,aflow:ee015fd8f01f6326,Bi2Mn4,63,oS12,0.403368,-7.04469,,False
Bi-Mn,aflow:ef08ab181db150db,Bi2Mn1,139,tI6,0.218742,-5.52386,,False
Bi-Mn,aflow:f0523388d1a4607a,Bi1Mn4,139,tI10,0.436102,-7.69413,,False
Bi-Mn,aflow:f1cd502596a6f4a8,Bi1Mn2,225,cF12,0.681935,-6.76612,,False
Bi-Mn,aflow:f167a40d1f5cd14d,Bi3Mn1,44,oI8,0.218407,-5.09784,,False
Bi-Mn,aflow:f599b8bed0ae0171,Bi8Mn4,194,hP12,1.76691,-3.9757,,False
Bi-Mn,aflow:f5a9639673b9540d,Bi1Mn5,191,hP6,0.505325,-7.79545,,False
Bi-Mn,aflow:f67c68b296a7e58e,Bi3Mn1,123,tP4,0.378468,-4.93778,,False
Bi-Mn,aflow:f87a882765eb8bb7,Bi2Mn2,166,hR4,0.472107,-6.12322,,False
Bi-Mn,aflow:f8bd44c8749b321f,Bi4Mn1,87,tI10,0.676635,-4.38379,,False
Bi-Mn,aflow:fa6e6579812a26a5,Bi12Mn4,194,hP16,0.990951,-4.32529,,False
Bi-Mn,aflow:faddda16c4439fda,Bi2Mn2,12,mS8,0.393757,-6.20157,,False
Bi-Mn,aflow:fb0d0c6166439ca5,Bi2Mn2,12,mS8,0.394422,-6.20091,,False
Bi-Mn,aflow:fdc8838022542de2,Bi4Mn8,205,cP12,1.32679,-6.12126,,False
Bi-Mn,aflow:ff5c57ca05ee06aa,Bi1Mn8,139,tI18,0.244023,-8.34099,,False
Co-Sb,aflow:018b53e8e268bb5b,Co1Sb3,25,oP4,-0.01827,-4.71245,,True
Co-Sb,aflow:02df16e6b621f213,Co3Sb3,8,mS12,-0.0589975,-5.55804,,True
Co-Sb,aflow:06cd22a62d375864,Co4Sb12,204,cI32,,-3.97008,0.152,False
Co-Sb,aflow:0729213f4fd0d270,Co3Sb1,166,hR4,0.435692,-5.86821,,False
Co-Sb,aflow:09094d7ad4c884bd,Co2Sb4,58,oP6,-0.321855,-5.28432,,True
Co-Sb,aflow:0afc4a8c5c8e5cd6,Co8Sb4,194,hP12,0.201074,-5.83454,,False
Co-Sb,aflow:0cda7205db99a1f0,Co2Sb2,194,hP4,-0.27915,-5.77819,,True
Co-Sb,aflow:0d0f63eb79336d45,Co2Sb2,129,tP4,0.0426305,-5.45641,,False
Co-Sb,aflow:0dbef3f0d884f140,Co4Sb1,229,cI10,1.18274,-5.28213,,False
Co-Sb,aflow:0e704a6cb856a7dc,Co1Sb3,12,mS8,-0.044057,-4.73824,,True
Co-Sb,aflow:0f9fad5562e1dcfd,Co2Sb2,63,oS8,-0.0829718,-5.58201,,True
Co-Sb,aflow:12216d6fa94132a4,Co4Sb12,204,cI32,,-3.97008,0.1516,False
Co-Sb,aflow:1314f8c60752e7b5,Co1Sb5,65,oS12,0.0531492,-4.37274,,False
Co-Sb,aflow:137da587bedecf85,Co3Sb1,65,oS8,0.161979,-6.14192,,False
Co-Sb,aflow:1495fed5ca3fb1a2,Co2Sb4,58,oP6,-0.322051,-5.28452,,True
Co-Sb,aflow:1799d5d8624c8035,Co1Sb1,187,hP2,0.0344625,-5.46458,,False
Co-Sb,aflow:18d8bb3712789e2c,Co1Sb3,71,oI8,0.00435025,-4.68983,,False
Co-Sb,aflow:1aad9027002c07b3,Co2Sb2,194,hP4,,-3.95442,0.0,False
Co-Sb,aflow:1b8cbd4bf34519f7,Co3Sb1,44,oI8,0.150169,-6.15373,,False
Co-Sb,aflow:1cd998327a7ea5d3,Co1Sb3,44,oI8,0.459941,-4.23424,,False
Co-Sb,aflow:1d86f9d2f76dfd4f,Co1Sb1,166,hR2,0.127848,-5.37119,,False
Co-Sb,aflow:218c0427fa124fb6,Co1Sb5,216,cF24,0.719932,-3.70596,,False
Co-Sb,aflow:22ad3a31b962835a,Co3Sb1,123,tP4,0.202987,-6.10091,,False
Co-Sb,aflow:22687cdffe0561c6,Co2Sb4,141,tI12,-0.0847562,-5.04722,,True
Co-Sb,aflow:234d9a666729f221,Co4Sb2,194,hP6,0.134666,-5.90095,,False
Co-Sb,aflow:23f32d8f3d2ba7ed,Co4Sb2,71,oI12,0.0892803,-5.94633,,False
Co-Sb,aflow:256d0bbb4a988a6d,Co2Sb1,139,tI6,0.164428,-5.87119,,False
Co-Sb,aflow:266e020d4d2448cc,Co5Sb1,38,oS12,0.140433,-6.43175,,False
Co-Sb,aflow:26e5c58fd6df9341,Co2Sb2,74,oI8,0.280867,-5.21817,,False
Co-Sb,aflow:2761b9759898f497,Co2Sb2,11,mP4,-0.0825117,-5.58155,,True
Co-Sb,aflow:284796c6edd908fd,Co2Sb2,194,hP4,,-3.95542,0.0,False
Co-Sb,aflow:2895fb6c57ad324a,Co4Sb8,14,mP12,,-3.98844,0.0,False
Co-Sb,aflow:2816a9bdaa5831b6,Co3Sb3,8,mS12,-0.00122917,-5.50027,,True
Co-Sb,aflow:29e538150ce72d4a,Co4Sb4,198,cP8,0.0487774,-5.45026,,False
Co-Sb,aflow:293a5ad801fe1205,Co2Sb2,194,hP4,,-3.95443,0.0,False
Co-Sb,aflow:2a16532bb4f8ce51,Co2Sb2,129,tP4,0.177569,-5.32147,,False
Co-Sb,aflow:2a2af9ca08045a84,Co2Sb2,129,tP4,-0.046203,-5.54524,,True
Co-Sb,aflow:2ebccc964e24c887,Co4Sb12,204,cI32,,-3.97009,0.1484,False
Co-Sb,aflow:2fcbf463ed12dade,Co4Sb2,227,cF24,0.264006,-5.77161,,False
Co-Sb,aflow:32755b70c5ebf811,Co2Sb2,194,hP4,,-3.95441,0.0,False
Co-Sb,aflow:35146d0f311b4cad,Co2Sb3,166,hR5,-0.0571506,-5.23425,,True
Co-Sb,aflow:350ce41aa937e707,Co2Sb2,194,hP4,0.204952,-5.29409,,False
Co-Sb,aflow:39e710576a7679da,Co2Sb2,63,oS8,-0.083345,-5.58239,,True
Co-Sb,aflow:403c83cc3c1704f7,Co1Sb3,123,tP4,-0.029705,-4.72389,,True
Co-Sb,aflow:418d796170523802,Co1Sb3,65,oS8,0.395021,-4.29916,,False
Co-Sb,aflow:443f506a11d30807,Co4Sb8,205,cP12,-0.180947,-5.14341,,True
Co-Sb,aflow:4629b8009acec4fa,Co4Sb12,204,cI32,,-3.97008,0.1461,False
Co-Sb,aflow:48e6ac057c624304,Co1Sb3,71,oI8,0.0042025,-4.68998,,False
Co-Sb,aflow:4ba2afc99fff375b,Co6Sb2,63,oS16,0.0307676,-6.27313,,False
Co-Sb,aflow:4ed4e627e3853a69,Co2Sb2,227,cF16,0.629619,-4.86942,,False
Co-Sb,aflow:4e633fe1e2904d3a,Co4Sb2,8,mS12,0.148466,-5.88715,,False
Co-Sb,aflow:4e5696626027b014,Co3Sb1,10,mP4,0.296053,-6.00785,,False
Co-Sb,aflow:50c054d7255b31c3,Co1Sb3,229,cI8,0.287596,-4.40658,,False
Co-Sb,aflow:504eb7adecaca72d,Co1Sb2,139,tI6,-0.0956517,-5.05812,,True
Co-Sb,aflow:51826274c6026e33,Co3Sb1,123,tP4,0.203855,-6.10004,,False
Co-Sb,aflow:549631da90ab9a8b,Co3Sb1,187,hP4,0.289411,-6.01449,,False
Co-Sb,aflow:58441db57aabb71a,Co1Sb3,10,mP4,-0.137023,-4.8312,,True
Co-Sb,aflow:59a19bf9fc5028ff,Co4Sb12,204,cI32,,-3.97007,0.1592,False
Co-Sb,aflow:5a638c7c5f573823,Co2Sb6,63,oS16,-0.0277809,-4.72196,,True
Co-Sb,aflow:5afb89bb583c9043,Co1Sb5,189,hP6,0.0326245,-4.39327,,False
Co-Sb,aflow:5b592c5721e3df34,Co2Sb4,227,cF24,1.16541,-3.79706,,False
Co-Sb,aflow:5bfd511a54c86f28,Co2Sb4,194,hP6,0.193484,-4.76898,,False
Co-Sb,aflow:5fb4c0e09a8de569,Co3Sb1,47,oP4,0.184591,-6.11931,,False
Co-Sb,aflow:60302d70a7db27bb,Co2Sb2,194,hP4,,-3.95441,0.0,False
Co-Sb,aflow:60a2b371ba63cd59,Co1Sb1,123,tP2,0.183801,-5.31524,,False
Co-Sb,aflow:621152ea5183e272,Co1Sb2,164,hP3,0.627617,-4.33485,,False
Co-Sb,aflow:62a95cc53fe75b02,Co3Sb1,65,oS8,0.203008,-6.10089,,False
Co-Sb,aflow:62fb842ab264a96a,Co2Sb2,129,tP4,0.032059,-5.46698,,False
Co-Sb,aflow:6527f230146df57b,Co4Sb12,204,cI32,,-3.97006,0.1534,False
Co-Sb,aflow:6588e36483916910,Co4Sb12,204,cI32,,-3.97008,0.152,False
Co-Sb,aflow:6e47ec3660d35422,Co4Sb12,204,cI32,,-3.97004,0.1535,False
Co-Sb,aflow:73110eace5619db9,Co2Sb4,63,oS12,-0.154393,-5.11686,,True
Co-Sb,aflow:7442569c0cfb9df2,Co4Sb12,204,cI32,,-3.97011,0.147,False
Co-Sb,aflow:766dd0c8fa9a95a9,Co1Sb3,123,tP4,-0.029968,-4.72415,,True
Co-Sb,aflow:786590502d7d8bc9,Co1Sb3,187,hP4,0.0438935,-4.65029,,False
Co-Sb,aflow:79739366feeedf66,Co2Sb1,164,hP3,0.213817,-5.8218,,False
Co-Sb,aflow:7953537f87007c96,Co2Sb2,129,tP4,-0.046269,-5.54531,,True
Co-Sb,aflow:793763e2fb6a2b52,Co16Sb4,217,cI40,0.333633,-6.13124,,False
Co-Sb,aflow:79b1279bbb604916,Co2Sb2,164,hP4,0.0990118,-5.40003,,False
Co-Sb,aflow:79ce9c873144420a,Co6Sb6,164,hP12,0.632536,-4.8665,,False
Co-Sb,aflow:7e91cf3c704768fa,Co4Sb8,62,oP12,-0.0757019,-5.03817,,True
Co-Sb,aflow:807dab73c97c386e,Co1Sb2,139,tI6,-0.0939863,-5.05645,,True
Co-Sb,aflow:8264770e10d5dc71,Co3Sb1,139,tI8,0.0089305,-6.29497,,False
Co-Sb,aflow:84c7ca870d5bf242,Co2Sb4,140,tI12,-0.0439678,-5.00643,,True
Co-Sb,aflow:8729da4fed058be2,Co3Sb1,221,cP4,0.0258905,-6.27801,,False
Co-Sb,aflow:87cd7cb11b4ce640,Co2Sb2,63,oS8,-0.0836153,-5.58266,,True
Co-Sb,aflow:880d03830a1bc3c1,Co2Sb2,74,oI8,0.067574,-5.43147,,False
Co-Sb,aflow:880ed50b4a11b56f,Co4Sb2,12,mS12,0.15829,-5.87732,,False
Co-Sb,aflow:8a36ea0679e67642,Co3Sb1,12,mS8,0.147467,-6.15643,,False
Co-Sb,aflow:8b3c8af5a57165ab,Co2Sb2,186,hP4,0.295445,-5.2036,,False
Co-Sb,aflow:91871aea389745d4,Co2Sb2,194,hP4,,-3.95444,0.0,False
Co-Sb,aflow:92a61de45ffd4535,Co1Sb2,225,cF12,-0.146786,-5.10925,,True
Co-Sb,aflow:924f53d68ac12f28,Co2Sb2,67,oS8,0.031968,-5.46707,,False
Co-Sb,aflow:92489a9198360f00,Co1Sb3,221,cP4,0.438816,-4.25536,,False
Co-Sb,aflow:95b3facf8f4c1fc6,Co2Sb2,194,hP4,,-3.95443,0.0,False
Co-Sb,aflow:9880b539d060dae6,Co3Sb1,166,hR4,0.323508,-5.98039,,False
Co-Sb,aflow:9cc3042c9fc77f99,Co2Sb2,51,oP4,0.174478,-5.32456,,False
Co-Sb,aflow:9f39607a5023e4dc,Co1Sb2,139,tI6,-0.095103,-5.05757,,True
Co-Sb,aflow:a183a7a474c1d836,Co10Sb6,140,tI32,0.176578,-5.72489,,False
Co-Sb,aflow:a1648a1a4377c435,Co4Sb5,139,tI18,0.396501,-4.92368,,False
Co-Sb,aflow:a2d0b7c455ed66dd,Co2Sb4,58,oP6,,-3.98894,0.0,False
Co-Sb,aflow:a2a0fff072902451,Co3Sb1,25,oP4,0.16139,-6.14251,,False
Co-Sb,aflow:a37169d2282a7fd6,Co4Sb12,204,cI32,,-3.97008,0.1528,False
Co-Sb,aflow:a43edc8280dee80f,Co3Sb2,164,hP5,0.0822258,-5.73876,,False
Co-Sb,aflow:a45bf2dd1ff425d9,Co1Sb2,164,hP3,-0.137722,-5.10019,,True
Co-Sb,aflow:a451720f03f7de18,Co8Sb4,205,cP12,0.545152,-5.49046,,False
Co-Sb,aflow:a7c127ab5e99360f,Co2Sb2,63,oS8,-0.0829497,-5.58199,,True
Co-Sb,aflow:a742f0413bfd2fa4,Co6Sb2,63,oS16,0.281478,-6.02242,,False
Co-Sb,aflow:a8c164f4b2ba69e9,Co4Sb8,14,mP12,-0.331209,-5.29368,,True
Co-Sb,aflow:a840d6629162271a,Co6Sb18,59,oP24,-0.0961984,-4.79038,,True
Co-Sb,aflow:a82f8479d9e48a98,Co4Sb8,14,mP12,,-3.83922,0.0,False
Co-Sb,aflow:a8f7004667f72b7a,Co2Sb4,12,mS12,-0.0340035,-4.99647,,True
Co-Sb,aflow:a9627aa51f08edf4,Co3Sb2,166,hR5,-0.007027,-5.82801,,True
Co-Sb,aflow:a91568b2c852ed04,Co4Sb16,197,cI40,0.0615703,-4.47164,,False
Co-Sb,aflow:aae9c7d24d5387f8,Co1Sb3,139,tI8,0.388157,-4.30602,,False
Co-Sb,aflow:abaf85f9d437ceb3,Co2Sb1,71,oI6,0.141382,-5.89423,,False
Co-Sb,aflow:ad3d6694ac835850,Co2Sb4,12,mS12,-0.1007,-5.06317,,True
Co-Sb,aflow:add3034730a4a3b8,Co1Sb2,139,tI6,-0.0937585,-5.05623,,True
Co-Sb,aflow:adbe8d0fb1d9efcd,Co4Sb12,204,cI32,,-3.97006,0.1517,False
Co-Sb,aflow:ae881330642bebc6,Co1Sb3,123,tP4,-0.0267922,-4.72097,,True
Co-Sb,aflow:afb1b625110949c7,Co1Sb1,216,cF8,0.286975,-5.21207,,False
Co-Sb,aflow:af16a50568926d21,Co2Sb2,141,tI8,0.265387,-5.23365,,False
Co-Sb,aflow:b08bbf10ddac10f0,Co4Sb12,204,cI32,,-3.97012,0.1492,False
Co-Sb,aflow:b225a623584b7871,Co2Sb4,8,mS12,-0.0746045,-5.03707,,True
Co-Sb,aflow:b59c64ea0a13329e,Co2Sb4,191,hP6,0.724621,-4.23785,,False
Co-Sb,aflow:b6743c1c523e6db2,Co1Sb1,65,oS4,0.181041,-5.318,,False
Co-Sb,aflow:b694800db04791fb,Co3Sb1,139,tI8,0.009295,-6.2946,,False
Co-Sb,aflow:b7212443b247509e,Co4Sb8,14,mP12,,-3.98414,0.0,False
Co-Sb,aflow:b92f3695d918a5bc,Co16Sb8,194,hP24,0.210984,-5.82463,,False
Co-Sb,aflow:bbb27394f0b87c6d,Co2Sb4,63,oS12,-0.0966342,-5.0591,,True
Co-Sb,aflow:bde7368de28ade99,Co2Sb1,164,hP3,0.2515,-5.78411,,False
Co-Sb,aflow:be227c897a21d940,Co1Sb2,164,hP3,-0.141231,-5.1037,,True
Co-Sb,aflow:bf93361ca3eccca2,Co12Sb17,217,cI58,0.267408,-4.95409,,False
Co-Sb,aflow:c31fe575514beb5b,Co2Sb1,139,tI6,0.165534,-5.87008,,False
Co-Sb,aflow:c3d5c06b42d5e39b,Co12Sb4,194,hP16,0.0415265,-6.26237,,False
Co-Sb,aflow:c5f7deca203a8c23,Co4Sb12,204,cI32,,-3.97033,0.1509,False
Co-Sb,aflow:c7cd0fed6c2cd004,Co2Sb2,63,oS8,-0.0829813,-5.58202,,True
Co-Sb,aflow:c7fd7b0c6808c0ef,Co2Sb2,166,hR4,-0.0205567,-5.5196,,True
Co-Sb,aflow:c88a27ba19ea36c1,Co1Sb5,65,oS12,-0.0993073,-4.5252,,True
Co-Sb,aflow:c83ad5babcceb27c,Co2Sb2,194,hP4,,-3.94592,0.0,False
Co-Sb,aflow:ca070bd13869632c,Co1Sb2,139,tI6,-0.0955303,-5.058,,True
Co-Sb,aflow:cf1fae3aea8ce23b,Co3Sb1,221,cP4,1.60386,-4.70004,,False
Co-Sb,aflow:cf01c0ea6cbc2141,Co4Sb12,204,cI32,-0.362937,-5.05712,,True
Co-Sb,aflow:d074014257cabf36,Co2Sb2,194,hP4,,-3.95441,0.0,False
Co-Sb,aflow:d1f5618608a5655c,Co4Sb2,12,mS12,0.102528,-5.93309,,False
Co-Sb,aflow:d4458970a8b15947,Co1Sb2,164,hP3,-0.139531,-5.102,,True
Co-Sb,aflow:d7b2d2d00104e33a,Co1Sb1,221,cP2,0.17925,-5.31979,,False
Co-Sb,aflow:d8c58b5e841891f2,Co4Sb12,204,cI32,,-3.97006,0.1508,False
Co-Sb,aflow:d8632ce2cd54c365,Co2Sb1,139,tI6,0.164431,-5.87118,,False
Co-Sb,aflow:dcdd4d678850e6ee,Co2Sb4,12,mS12,-0.200064,-5.16253,,True
Co-Sb,aflow:dee000743087f37a,Co2Sb1,225,cF12,0.148719,-5.88689,,False
Co-Sb,aflow:de46a36b9a630add,Co2Sb2,194,hP4,,-3.95443,0.0,False
Co-Sb,aflow:e2498a3937338d52,Co1Sb3,225,cF16,0.420511,-4.27367,,False
Co-Sb,aflow:e311ea640a681208,Co5Sb1,123,tP6,0.177435,-6.39475,,False
Co-Sb,aflow:e3d95ec130e8403a,Co4Sb2,58,oP6,0.217406,-5.81821,,False
Co-Sb,aflow:e47847e37c807d7b,Co6Sb2,194,hP8,0.0298049,-6.2741,,False
Co-Sb,aflow:e5ee9aacf73a6598,Co2Sb1,139,tI6,0.164288,-5.87133,,False
Co-Sb,aflow:e626fafe46c2ad52,Co2Sb2,194,hP4,,-3.95441,0.0,False
Co-Sb,aflow:e7ccd4f481bb523a,Co1Sb3,123,tP4,0.409397,-4.28478,,False
Co-Sb,aflow:e90d26970ba30d0e,Co4Sb1,139,tI10,0.270944,-6.19393,,False
Co-Sb,aflow:ea53efcebee4e59e,Co2Sb2,59,oP4,0.0419028,-5.45714,,False
Co-Sb,aflow:ec55e6668ed0bc3a,Co6Sb2,223,cP8,0.103748,-6.20015,,False
Co-Sb,aflow:eeaae49709bb4e56,Co4Sb12,62,oP16,-0.0913284,-4.78551,,True
Co-Sb,aflow:f01bdf42901fdc2a,Co4Sb2,194,hP6,0.0221557,-6.01346,,False
Co-Sb,aflow:f0fa32c496fea034,Co4Sb12,204,cI32,,-3.9701,0.1473,False
Co-Sb,aflow:f3d0b4cf16f5a2e2,Co3Sb1,221,cP4,0.0246985,-6.2792,,False
Co-Sb,aflow:f38bc7763d0f236d,Co1Sb5,8,mS12,-0.064971,-4.49086,,True
Co-Sb,aflow:f38f615b9187f38a,Co2Sb4,58,oP6,,-3.83843,0.0,False
Co-Sb,aflow:f50c09f76d22a490,Co1Sb2,69,oF12,2.02603,-2.93644,,False
Co-Sb,aflow:f75d13ef9eefc88c,Co2Sb1,71,oI6,0.141399,-5.89421,,False
Co-Sb,aflow:f9259caad215b3e5,Co1Sb5,123,tP6,-0.00248383,-4.42838,,True
Co-Sb,aflow:fa7c2ed27964c71c,Co2Sb4,58,oP6,,-3.9887,0.0,False
Co-Sb,aflow:fb37d94d164acfa1,Co6Sb10,8,mS32,0.115684,-4.98093,,False
Co-Sb,aflow:fcabf7a18865d8fc,Co3Sb1,225,cF16,0.074881,-6.22902,,False
Co-Sb,aflow:fc1849b4c568958e,Co2Sb1,164,hP3,0.401309,-5.6343,,False
Co-Te,aflow:00fe97f76b622ed3,Co1Te3,187,hP4,0.0875605,-4.04569,,False
Co-Te,aflow:0149c9e9e795f3c5,Co5Te1,65,oS12,0.13717,-6.31037,,False
Co-Te,aflow:018a44fed704059b,Co2Te2,63,oS8,0.148735,-4.97635,,False
Co-Te,aflow:04a5f74975b6b1e5,Co2Te2,63,oS8,0.148473,-4.97661,,False
Co-Te,aflow:0515e44cc45c68ee,Co1Te2,164,hP3,-0.19796,-4.66182,,True
Co-Te,aflow:08515b38506706b5,Co3Te1,123,tP4,0.37331,-5.74361,,False
Co-Te,aflow:0b0b1f57f44f1471,Co2Te2,129,tP4,0.0396285,-5.08546,,False
Co-Te,aflow:0c32ebdb1d9167c1,Co3Te1,139,tI8,0.225918,-5.891,,False
Co-Te,aflow:0d6141318852e4f5,Co6Te6,164,hP12,0.0240492,-5.10104,,False
Co-Te,aflow:0f3481b7780ba290,Co2Te4,63,oS12,0.115206,-4.34865,,False
Co-Te,aflow:10affc67dade7ec1,Co2Te3,166,hR5,-0.0158674,-4.74422,,True
Co-Te,aflow:10051df4b4eb7b43,Co1Te3,225,cF16,0.680548,-3.4527,,False
Co-Te,aflow:113197615c98fe4c,Co2Te4,58,oP6,,-3.49879,0.0,False
Co-Te,aflow:1228645a7e91ebb5,Co3Te3,8,mS12,0.124093,-5.00099,,False
Co-Te,aflow:1323aa2de4e74fd3,Co3Te1,123,tP4,0.37241,-5.74451,,False
Co-Te,aflow:14011a5b040f85a5,Co8Te4,205,cP12,0.624583,-5.16173,,False
Co-Te,aflow:145a283bf32fd5d2,Co18Te6,194,hP24,0.229869,-5.88705,,False
Co-Te,aflow:152abf52880e3f81,Co2Te4,63,oS12,-0.114572,-4.57843,,True
Co-Te,aflow:155a57338b82c0fd,Co8Te4,62,oP12,0.189819,-5.59649,,False
Co-Te,aflow:162ed8a37a1365c5,Co4Te8,205,cP12,-0.16561,-4.62947,,True
Co-Te,aflow:1749af6a91f59774,Co2Te4,58,oP6,,-3.49896,0.0,False
Co-Te,aflow:174901fddbad4206,Co1Te3,166,hR4,0.402153,-3.73109,,False
Co-Te,aflow:18aebce0817a7f47,Co1Te3,123,tP4,0.70613,-3.42712,,False
Co-Te,aflow:1915c816161429a6,Co2Te4,194,hP6,0.468944,-3.99492,,False
Co-Te,aflow:1c056bf938f524db,Co2Te1,139,tI6,0.340035,-5.44628,,False
Co-Te,aflow:1def8142ad8f0223,Co2Te2,11,mP4,0.103225,-5.02186,,False
Co-Te,aflow:1fd74d5231b983fb,Co2Te4,58,oP6,,-3.49895,0.0,False
Co-Te,aflow:22d0317177b8dc02,Co8Te16,227,cF96,0.537568,-3.92629,,False
Co-Te,aflow:22d8a1443ec242d4,Co1Te1,221,cP2,0.439088,-4.686,,False
Co-Te,aflow:24d71eb67b046ffe,Co2Te4,58,oP6,,-3.49907,0.0,False
